threads_number,minimum,maximum,average,collect_time
250,261.3333333333333,297.0,278.32933333333335,25.0
550,116.33333333333333,147.33333333333334,127.2151515151515,48.333333333333336
50,1242.3333333333333,1445.0,1393.3197278911564,8.333333333333334
175,360.6666666666667,420.6666666666667,397.4609523809524,20.333333333333332
775,85.33333333333333,107.0,94.51397849462364,61.333333333333336
100,660.3333333333334,733.0,696.0066666666667,11.666666666666666
475,136.66666666666666,169.0,146.82526315789474,40.666666666666664
325,200.0,228.66666666666666,213.8451282051282,32.666666666666664
400,157.33333333333334,200.33333333333334,175.00333333333333,36.333333333333336
700,91.0,112.33333333333333,100.16523809523811,56.666666666666664
10,6836.0,7631.666666666667,7108.033333333334,3.0
625,105.0,128.0,112.17866666666667,52.0
