threads_number,minimum,maximum,average,collect_time
250,13.0,16.0,14.101333333333335,24.333333333333332
50,68.0,74.33333333333333,70.48,7.0
500,5.333333333333333,12.333333333333334,7.9879999999999995,46.333333333333336
100,32.0,37.333333333333336,35.223333333333336,11.666666666666666
150,20.666666666666668,27.0,23.613333333333333,15.0
400,7.0,10.0,8.619166666666667,36.666666666666664
450,6.0,10.0,7.825925925925926,41.333333333333336
300,10.0,13.666666666666666,11.77222222222222,28.0
200,16.0,19.0,17.611666666666668,19.333333333333332
350,8.333333333333334,12.666666666666666,10.065714285714286,32.666666666666664
