threads_number,minimum,maximum,average,collect_time
250,26.0,33.0,29.149333333333335,24.666666666666668
550,11.0,14.666666666666666,12.705454545454545,52.0
50,131.33333333333334,149.33333333333334,140.10666666666668,7.0
175,36.333333333333336,43.333333333333336,39.820952380952384,17.666666666666668
775,7.0,11.333333333333334,8.985806451612904,65.66666666666667
100,63.666666666666664,74.0,69.24,11.333333333333334
475,13.0,18.666666666666668,15.10315789473684,51.333333333333336
325,20.0,24.333333333333332,21.743589743589748,30.333333333333332
400,15.0,19.666666666666668,17.448333333333334,37.0
700,9.0,13.0,10.034761904761906,58.333333333333336
625,10.0,14.0,11.4576,55.0
