threads_number,minimum,maximum,average,collect_time,submit_time
250,504.0,757.0,563.378,25.5,163.0
550,216.0,633.5,258.8409090909091,75.0,104.5
775,159.5,332.5,182.93290322580646,97.0,106.0
475,255.5,492.0,298.89473684210526,61.0,124.5
325,415.5,483.5,433.8630769230769,44.5,90.0
400,301.0,555.5,353.8359210526316,46.0,3453.5
700,178.5,431.5,203.4942857142857,88.0,103.0
625,198.5,468.0,225.9416,76.0,100.5
