threads_number,minimum,maximum,average,collect_time
250,1262.0,1517.0,1422.054886211513,24.666666666666668
550,535.0,725.6666666666666,646.9826385528287,48.666666666666664
50,6667.0,10300.666666666666,9423.85230934479,12.333333333333334
175,1809.3333333333333,2117.3333333333335,2029.8275862068965,25.333333333333332
775,425.6666666666667,1041.6666666666667,574.8989247311828,80.33333333333333
100,3390.3333333333335,3621.6666666666665,3525.5258626147515,7.0
475,687.3333333333334,835.0,753.4147368421053,42.666666666666664
325,961.3333333333334,1186.0,1094.641898864809,34.666666666666664
400,788.3333333333334,913.3333333333334,881.5036849547632,11.333333333333334
700,463.6666666666667,839.6666666666666,548.2356728778468,29.0
625,533.0,650.0,574.5457856321934,57.333333333333336
